benchmark,Numpy,Parallel,Tasking
adi,15,0,11
arc_distance,17,1,271
atax,18,17,121
azimint_hist,7,4,2307
azimint_naive,203,66,63
bicg,15,24,130
cavity_flow,9,4,110
channel_flow,575,234,6638
cholesky,15,52,549
cholesky2,16,NULL,NULL
compute,26,4,6
contour_integral,356,NULL,NULL
conv2d_bias,10,6,6
correlation,36,65,688
covariance,51,61,922
crc16,6,0,0
deriche,10,0,9
doitgen,92,24,20
durbin,7,41,4585
fdtd_2d,4,1,33
floyd_warshall,6,72,122
gemm,35,672,632
gemver,15,5,26
gesummv,18,10,40
go_fast,7,3,6
gramschmidt,7,2,26
hdiff,6,1,2
heat_3d,8,1,3
jacobi_1d,8,8,11055
jacobi_2d,6,17,49
k2mm,44,585,515
k3mm,231,9575,8880
lenet,9,11,2
lu,6,34,319
ludcmp,7,35,425
mandelbrot1,13,0,3
mandelbrot2,14,19,6834
mlp,328,487,611
mvt,24,41,235
nbody,6,75,112
nussinov,9,0,0
resnet,9,15,17
scattering_self_energies,9,7,6
seidel_2d,11,4,85
softmax,22,7,7
spmv,12,0,7
stockham_fft,13,NULL,NULL
symm,8,12,19
syr2k,10,0,0
syrk,8,0,0
trisolv,5,179,5158
trmm,8,1,12
