benchmark,Numpy,Parallel,Tasking
adi,154,3,128
arc_distance,120,8,1717
atax,78,229,776
azimint_hist,65,36,15322
azimint_naive,5381,962,918
bicg,77,220,780
cavity_flow,56,27,480
channel_flow,1478,825,18406
cholesky,103,549,14039
cholesky2,96,NULL,NULL
compute,162,26,29
contour_integral,168,NULL,NULL
conv2d_bias,79,14,14
correlation,372,3073,11821
covariance,407,3299,14366
crc16,61,1,1
deriche,105,14,38
doitgen,347,291,293
durbin,57,778,NULL
fdtd_2d,42,5,256
floyd_warshall,40,53,497
gemm,191,19265,19178
gemver,67,32,119
gesummv,55,38,116
go_fast,47,28,29
gramschmidt,87,15,240
hdiff,66,11,12
heat_3d,42,3,14
jacobi_1d,69,35,NULL
jacobi_2d,38,4,163
k2mm,254,20836,20747
k3mm,293,33009,32840
lenet,57,17,18
lu,104,544,11438
ludcmp,101,561,11517
mandelbrot1,117,3,6
mandelbrot2,104,153,62812
mlp,355,5229,5117
mvt,72,226,783
nbody,41,36,943
nussinov,82,0,1
resnet,61,42,46
scattering_self_energies,57,99,92
seidel_2d,80,13,869
softmax,79,22,29
spmv,92,2,54
stockham_fft,152,NULL,NULL
symm,68,4,35
syr2k,88,0,1
syrk,71,1,1
trisolv,14,396,33663
trmm,78,8,153
