benchmark,Numpy,Parallel,Tasking,ChunkingRelative32,ChunkingAbsolute16,ChunkingAbsolute32,ChunkingAbsolute64
adi,182,8,59,13,10,10,9
arc_distance,145,50,1036,42,56,49,46
azimint_hist,124,96,7633,7543,7557,7732,7702
azimint_naive,7646,4350,4388,4427,4358,4396,4388
cavity_flow,192,33,206,66,32,88,33
channel_flow,2709,506,5549,1594,782,656,740
cholesky2,245,186,208,205,214,203,193
compute,309,34,47,40,36,38,43
contour_integral,1149,2223,1619,2565,1565,2078,2040
conv2d_bias,238,197,230,230,212,235,358
correlation,1258,738,767,763,757,757,760
covariance,1304,5958,12404,5854,7990,6586,6678
deriche,248,93,91,54,58,74,96
doitgen,598,96,89,89,101,104,145
durbin,208,1211,115584,4900,25827,10973,7828
fdtd_2d,197,27,128,28,72,136,68
floyd_warshall,207,52,210,73,49,48,57
gemm,1026,742,745,741,740,734,734
gemver,91,91,138,131,114,118,128
gesummv,86,81,114,109,115,110,110
go_fast,90,48,58,43,43,40,39
gramschmidt,323,30,64,23,14,29,39
hdiff,114,67,66,53,55,41,101
heat_3d,138,73,9,33,47,75,20
jacobi_1d,251,51,69385,256,4388,2203,1142
jacobi_2d,147,15,69,46,33,74,19
k2mm,985,838,849,851,846,850,845
lenet,194,278,266,273,324,382,403
ludcmp,260,23,16,15,16,15,50
mandelbrot1,319,55,46,41,50,183,94
mandelbrot2,356,229,23531,244,1629,910,578
mlp,459,276,325,326,324,327,329
mvt,94,101,122,104,131,118,123
nbody,121,55,184,123,28,23,24
nussinov,278,0,0,0,0,0,0
resnet,198,583,587,589,709,982,983
scattering_self_energies,172,9,49,52,82,29,44
seidel_2d,284,28,262,90,52,40,56
softmax,136,184,202,176,193,219,214
spmv,298,1,49,18,18,2,12
stockham_fft,361,579,6211,573,1615,907,1106
symm,243,13,25,8,15,14,10
syr2k,322,20,1,3,2,1,3
syrk,263,21,3,25,7,2,2
trmm,254,4,81,45,22,35,56
